,no,ID_sample,Feval,Fmod_Feval,NFmod_Fe,NFeval,NFeval_NFmod,Fmod_NFeval
0,1,0.0,148131.56676232567,104356.98904195873,43774.57772036694,143468.43323860786,96771.58658429104,46696.84665431682
1,2,1.0,276148.8099051451,272399.83321126143,3748.9766938836547,15451.190094980644,583.2432445350823,14867.946850445562
2,3,2.0,28871.932415258423,5132.132214040374,23739.80020121805,262728.0675849148,246689.38673912894,16038.680845785857
3,4,3.0,5339.34045427135,3694.745566622418,1644.5948876489315,286260.65954572865,278500.81179919944,7759.847746529209
4,5,4.0,53822.29610470121,13801.019845067061,40021.27625963415,237777.70389545464,204895.31363670813,32882.39025874651
5,6,5.0,158369.6554794802,149747.276640817,8622.378838663193,133230.3445213246,83408.21622929085,49822.12829203374
6,7,6.0,122028.22593103678,82482.96097013495,39545.264960901826,169571.77406927187,124594.61772357297,44977.156345698895
7,8,7.0,227991.98253749814,121903.22015326493,106088.76238423321,63608.017463225406,39562.55789263948,24045.459570585925
8,9,8.0,291600.0,291600.0,0.0,,,
9,10,9.0,118029.321397005,92861.6959819014,25167.625415103597,173570.678602995,140606.87521368515,32963.80338930985
10,11,10.0,261563.34348512464,253940.88471071172,7622.458774412924,30036.656516186194,17050.44073067618,12986.215785510016
11,12,11.0,63377.09680406003,45665.79693450892,17711.299869551105,228222.90319701674,203651.26468104482,24571.63851597192
12,13,12.0,144273.47419995733,94404.64164042892,49868.83255952841,147326.52580048877,122764.06470789966,24562.461092589117
13,14,13.0,65243.332605002746,22216.67192788792,43026.66067711482,226356.66739499726,221347.96394504202,5008.703449955239
14,15,14.0,272063.97297436936,272063.97297436936,0.0,19536.027026323965,3345.887588378535,16190.13943794543
15,16,15.0,30918.040768636612,12414.515901210663,18503.52486742595,260681.95923152048,255137.49737131209,5544.461860208394
16,17,16.0,27944.00758223273,4281.2785454941495,23662.72903673858,263655.99241777183,236170.43624650332,27485.556171268516
17,18,17.0,232955.43982583564,218469.2309522461,14486.208873589552,58644.56017447868,41569.384878764205,17075.175295714478
18,19,,,,,291600.0,290639.6450345121,960.3549654879025
19,20,19.0,48899.66301111736,16431.31562688539,32468.34738423197,242700.33698906808,191992.2109007415,50708.126088326564
20,21,20.0,61571.486011019486,36240.37025719339,25331.115753826096,230028.5139890367,200758.51914244713,29269.994846589572
21,22,21.0,49673.80201049904,9641.8678885866,40031.93412191245,241926.1979897067,230987.02954975943,10939.168439947272
22,23,,,,,291600.0,291600.0,0.0
23,24,23.0,201831.8874337147,182008.1854239824,19823.70200973231,89768.11256644741,66090.72245103895,23677.39011540846
24,25,24.0,176132.4792486684,100335.84049669692,75796.63875197146,115467.52075244207,75570.54347464364,39896.97727779843
25,26,25.0,208068.79837028158,186303.33854351746,21765.459826764127,83531.20163072283,76941.1591905552,6590.042440167628
26,27,26.0,218381.5349393026,195977.65074565983,22403.884193642763,73218.46506097639,26191.28562552549,47027.179435450904
27,28,27.0,243818.82467836674,232831.46714848725,10987.35752987949,47781.17532163326,23940.513301762123,23840.662019871135
28,29,28.0,233265.74237684626,206684.76372933117,26580.97864751509,58334.25762378708,38509.99008528215,19824.26753850493
29,30,29.0,104819.25819374813,73962.91051626044,30856.34767748769,186780.74180721474,160417.3590833099,26363.382723904855
30,31,30.0,112013.22758038499,73663.60606984419,38349.621510540805,179586.77241936975,132967.78481309142,46618.98760627833
31,32,31.0,119663.51064805363,106697.32133772397,12966.18931032966,171936.48935287856,152995.46009303333,18941.029259845236
32,33,32.0,244619.53637255897,193974.15132511692,50645.38504744205,46980.463628446865,17638.17503934816,29342.288589098705
33,34,33.0,81969.74206716285,69914.11909845153,12055.622968711323,209630.25793312344,195677.36695323503,13952.890979888412
